co,route,orig_tc,orig_en,dest_tc,dest_en,orig_sc,dest_sc,data_timestamp
CTB,8X,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),跑馬地 (下),Happy Valley (Lower),小西湾 (蓝湾半岛),跑马地 (下),2020-05-22T05:00:02+08:00
CTB,90,鴨脷洲邨,Ap Lei Chau Estate,中環 (交易廣場),Central (Exchange Square),鸭脷洲邨,中环 (交易广场),2020-05-22T05:00:02+08:00
CTB,907B,大埔 (廣福球場),Tai Po (Kwong Fuk Football Ground),灣仔 (會議展覽中心),Wan Chai (HKCEC),大埔 (广福球场),湾仔 (会议展览中心),2020-05-22T05:00:02+08:00
CTB,907C,大埔頭,Tai Po Tau,灣仔 (會議展覽中心),Wan Chai (HKCEC),大埔头,湾仔 (会议展览中心),2020-05-22T05:00:02+08:00
CTB,90B,海怡半島,South Horizons,金鐘 (東),Admiralty (East),海怡半岛,金钟 (东),2020-05-22T05:00:02+08:00
CTB,90C,鴨脷洲大街,Main Street Ap Lei Chau,中環 (怡和大廈),Central (Jardine House),鸭脷洲大街,中环 (怡和大厦),2020-05-22T05:00:02+08:00
CTB,930,荃灣 (愉景新城／荃灣西站),Tsuen Wan (Discovery Park / Tsuen Wan West Station),灣仔北,Wan Chai North,荃湾 (愉景新城／荃湾西站),湾仔北,2020-05-22T05:00:02+08:00
CTB,930A,荃灣西站,Tsuen Wan West Station,灣仔北,Wan Chai North,荃湾西站,湾仔北,2020-05-22T05:00:02+08:00
CTB,930X,荃灣 (愉景新城),Tsuen Wan (Discovery Park),銅鑼灣 (摩頓台),Causeway Bay (Moreton Terrace),荃湾 (愉景新城),铜锣湾 (摩顿台),2020-05-22T05:00:02+08:00
CTB,93C,鴨脷洲大街,Main Street Ap Lei Chau,堅道,Caine Road,鸭脷洲大街,坚道,2020-05-22T05:00:02+08:00
CTB,95C,鴨脷洲邨,Ap Lei Chau Estate,置富花園,Chi Fu Fa Yuen,鸭脷洲邨,置富花园,2020-05-22T05:00:02+08:00
CTB,95P,田灣,Tin Wan,鴨脷洲邨,Ap Lei Chau Estate,田湾,鸭脷洲邨,2020-05-22T05:00:02+08:00
CTB,96,利東邨,Lei Tung Estate,銅鑼灣 (摩頓台),Causeway Bay (Moreton Terrace),利东邨,铜锣湾 (摩顿台),2020-05-22T05:00:02+08:00
CTB,962,屯門 (龍門居),Tuen Mun (Lung Mun Oasis),銅鑼灣 (摩頓台),Causeway Bay (Moreton Terrace),屯门 (龙门居),铜锣湾 (摩顿台),2020-05-22T05:00:02+08:00
CTB,962A,屯門 (悅湖山莊),Tuen Mun (Yuet Wu Villa),金鐘,Admiralty,屯门 (悅湖山庄),金钟,2020-05-22T05:00:02+08:00
